Position,Players,Matches,Innings,Not Outs,Runs,Highest Score,Average,Balls Faced,Strike Rate,Centuries,Fifties,Fours,Sixes
78,Manoj Tiwary,98,85,26,1695,75*,28.72,"1,449",116.97,0,7,156,40
79,Travis Head,10,10,3,205,75*,29.28,148,138.51,0,1,12,8
80,Paul Collingwood,8,7,2,203,75*,40.60,156,130.12,0,3,9,13
81,Sunil Narine,98,48,12,628,75,17.44,372,168.81,0,3,76,35
82,Simon Katich,11,11,1,241,75,24.10,186,129.56,0,2,26,8
83,Moises Henriques,57,50,16,969,74*,28.50,756,128.17,0,5,87,27
84,MN van Wyk,5,5,2,167,74,55.66,132,126.51,0,1,19,1
85,Albie Morkel,91,68,28,974,73*,24.35,686,141.98,0,3,61,55
86,Faf du Plessis,59,52,4,1457,73,30.35,"1,141",127.69,0,9,127,44
87,Brad Hodge,66,63,21,1400,73,33.33,"1,118",125.22,0,6,122,43
88,Salman Butt,7,7,0,193,73,27.57,161,119.87,0,1,30,2
89,Suryakumar Yadav,69,56,14,1124,72,26.76,849,132.39,0,5,116,37
90,Subramaniam Badrinath,95,67,20,1441,71*,30.65,"1,212",118.89,0,11,154,28
91,Venugopal Rao,65,54,10,985,71*,22.38,836,117.82,0,3,77,37
92,David Hussey,64,61,12,1322,71,26.97,"1,075",122.97,0,5,90,60
93,James Hopes,21,19,3,417,71,26.06,306,136.27,0,4,49,11
94,Dwayne Bravo,122,92,34,1379,70*,23.77,"1,074",128.39,0,5,108,57
95,Ryan ten Doeschate,29,22,8,326,70*,23.28,235,138.72,0,1,26,15
96,Nitish Rana,32,30,3,741,70,27.44,571,129.77,0,5,57,39
97,Herschelle Gibbs,36,36,4,886,69*,27.68,807,109.78,0,6,83,31
98,Kedar Jadhav,65,58,20,917,69,24.13,684,134.06,0,3,73,35
99,Mayank Agarwal,64,59,3,934,68,16.67,754,123.87,0,3,91,38
100,Johan Botha,34,28,8,409,67*,20.45,359,113.92,0,1,39,5
